schema_version,timestamp,cpu_temp,cpu_util[%],gpu_temp,gpu_util[%],gpu_clock[mhz],gpu_mem_used[mb],gpu_power[w],ram_used[mb],proc_rss[mb],disk_free[gb],queue_depth[n],torch_vram_alloc[mb],torch_vram_reserved[mb],cycles_total[n],dropped_logs[n]
1.0.0,2026-06-23 19:43:33.234,36.0,4.9,56,0,2040,2317.971456,41.22,19490.9184,1775.747072,586.703470592,80,71.338496,138.412032,23,0
1.0.0,2026-06-23 19:43:34.227,27.1,4.9,56,1,2040,2317.971456,35.956,19492.073472,1775.783936,586.703450112,80,71.338496,138.412032,23,0
1.0.0,2026-06-23 19:43:35.255,29.8,4.1,56,0,2040,2317.971456,35.977,19493.502976,1776.78336,586.703433728,80,71.338496,138.412032,23,0
1.0.0,2026-06-23 19:43:36.246,28.4,4.9,57,10,2040,2317.971456,39.283,19506.70848,1786.707968,586.70342144,80,71.339008,138.412032,23,0
1.0.0,2026-06-23 19:43:37.248,37.9,5.3,56,0,2040,2317.971456,41.435,19495.657472,1776.848896,586.702946304,80,71.338496,138.412032,24,0
1.0.0,2026-06-23 19:43:38.270,33.8,5.3,57,8,2040,2317.971456,42.521,19504.603136,1786.707968,586.702934016,80,71.338496,138.412032,24,0
1.0.0,2026-06-23 19:43:39.281,32.2,5.3,56,1,2040,2317.971456,37.828,19496.054784,1776.848896,586.702409728,80,71.338496,138.412032,25,0
1.0.0,2026-06-23 19:43:40.342,26.2,5.8,56,7,2040,2317.971456,36.496,19504.611328,1788.813312,586.702393344,80,71.339008,138.412032,25,0
1.0.0,2026-06-23 19:43:41.326,33.0,4.8,57,9,2040,2317.971456,43.679,19495.841792,1777.860608,586.702139392,80,71.338496,138.412032,26,0
1.0.0,2026-06-23 19:43:42.360,31.9,4.2,56,9,2040,2317.971456,38.715,19504.791552,1787.723776,586.701930496,80,71.339008,138.412032,26,0
1.0.0,2026-06-23 19:43:43.315,32.8,5.6,57,8,2040,2317.971456,42.961,19496.71424,1779.093504,586.701279232,80,71.338496,138.412032,27,0
1.0.0,2026-06-23 19:43:44.340,32.5,4.1,56,1,2040,2317.971456,38.364,19498.725376,1780.330496,586.701275136,80,71.338496,138.412032,27,0
1.0.0,2026-06-23 19:43:45.357,35.9,5.8,57,11,2040,2317.971456,41.835,19507.593216,1787.727872,586.701262848,80,71.338496,138.412032,27,0
1.0.0,2026-06-23 19:43:46.305,36.9,5.2,56,1,2040,2317.971456,39.847,19496.845312,1777.8688,586.700722176,80,71.338496,138.412032,28,0
1.0.0,2026-06-23 19:43:47.309,27.8,5.1,56,2,2040,2317.971456,36.121,19503.910912,1778.835456,586.700705792,80,71.338496,138.412032,28,0
1.0.0,2026-06-23 19:43:48.308,28.7,7.8,56,1,2040,2317.971456,35.872,19505.864704,1778.839552,586.70067712,80,71.338496,138.412032,28,0
1.0.0,2026-06-23 19:43:49.350,30.7,4.9,57,8,2040,2317.971456,40.762,19515.097088,1788.706816,586.700730368,80,71.338496,138.412032,28,0
1.0.0,2026-06-23 19:43:50.289,33.5,5.9,57,7,2040,2317.971456,40.332,19517.595648,1788.739584,586.700255232,80,71.339008,138.412032,29,0
1.0.0,2026-06-23 19:43:51.311,31.4,5.9,57,5,2040,2317.971456,42.989,19506.712576,1778.876416,586.699669504,80,71.339008,138.412032,30,0
1.0.0,2026-06-23 19:43:52.294,28.0,4.8,56,0,2040,2317.971456,36.208,19506.008064,1778.876416,586.699657216,80,71.339008,138.412032,30,0
1.0.0,2026-06-23 19:43:53.312,27.9,5.6,57,10,2040,2317.971456,37.973,19515.097088,1788.739584,586.699640832,80,71.339008,138.412032,30,0
1.0.0,2026-06-23 19:43:54.316,37.1,6.8,56,1,2040,2317.971456,42.356,19502.907392,1778.876416,586.698989568,80,71.339008,138.412032,31,0
1.0.0,2026-06-23 19:43:55.329,28.9,4.9,57,8,2040,2317.971456,38.62,19513.81504,1788.735488,586.69897728,80,71.339008,138.412032,31,0
1.0.0,2026-06-23 19:43:56.321,36.2,7.1,56,1,2040,2317.971456,41.379,19506.679808,1781.342208,586.698584064,80,71.338496,138.412032,32,0
1.0.0,2026-06-23 19:43:57.356,31.1,4.5,56,1,2040,2317.971456,37.298,19513.982976,1788.739584,586.698571776,80,71.339008,138.412032,32,0
1.0.0,2026-06-23 19:43:58.315,33.7,4.9,57,11,2040,2317.971456,42.987,19505.319936,1778.876416,586.698289152,80,71.338496,138.412032,33,0
1.0.0,2026-06-23 19:43:59.300,32.7,4.8,56,1,2040,2317.971456,37.057,19504.201728,1778.876416,586.69801472,80,71.338496,138.412032,33,0
1.0.0,2026-06-23 19:44:00.313,27.7,5.6,56,1,2040,2317.971456,35.986,19507.79392,1778.876416,586.698002432,80,71.338496,138.412032,33,0
1.0.0,2026-06-23 19:44:01.309,27.7,4.8,56,1,2040,2317.971456,36.119,19505.549312,1778.87232,586.697986048,80,71.338496,138.412032,33,0
1.0.0,2026-06-23 19:44:02.316,32.7,6.7,57,13,2040,2317.971456,41.707,19522.568192,1788.735488,586.697900032,80,71.338496,138.412032,33,0
1.0.0,2026-06-23 19:44:03.309,32.4,4.7,57,10,2040,2317.971456,40.751,19521.458176,1788.74368,586.697351168,80,71.339008,138.412032,34,0
1.0.0,2026-06-23 19:44:04.306,34.9,6.1,56,1,2040,2317.971456,41.636,19510.25152,1778.880512,586.697105408,80,71.338496,138.412032,35,0
1.0.0,2026-06-23 19:44:05.315,29.4,4.4,56,2,2040,2317.971456,36.022,19508.502528,1778.880512,586.697089024,80,71.338496,138.412032,35,0
1.0.0,2026-06-23 19:44:06.359,27.4,5.4,57,5,2040,2317.971456,38.932,19519.36512,1788.739584,586.697076736,80,71.339008,138.412032,35,0
1.0.0,2026-06-23 19:44:07.289,38.7,5.3,56,1,2040,2317.971456,41.012,19508.805632,1778.880512,586.696716288,80,71.338496,138.412032,36,0
1.0.0,2026-06-23 19:44:08.361,33.7,5.0,57,13,2040,2317.971456,40.145,19524.07552,1788.739584,586.696699904,80,71.338496,138.412032,36,0
1.0.0,2026-06-23 19:44:09.325,36.5,5.4,56,1,2040,2317.971456,40.983,19516.686336,1780.113408,586.696433664,80,71.338496,138.412032,37,0
1.0.0,2026-06-23 19:44:10.340,29.8,8.4,56,8,2040,2317.971456,38.722,19544.358912,1788.74368,586.69635584,80,71.339008,138.412032,37,0
1.0.0,2026-06-23 19:44:11.330,37.2,5.5,57,2,2040,2317.971456,42.932,19533.197312,1778.880512,586.696077312,80,71.338496,138.412032,38,0
1.0.0,2026-06-23 19:44:12.326,32.9,3.4,56,1,2040,2317.971456,36.056,19532.029952,1778.880512,586.696056832,80,71.338496,138.412032,38,0
1.0.0,2026-06-23 19:44:13.339,27.2,6.2,56,1,2040,2317.971456,35.928,19532.750848,1778.880512,586.696044544,80,71.338496,138.412032,38,0
1.0.0,2026-06-23 19:44:14.363,27.8,5.1,56,2,2040,2317.971456,36.363,19542.372352,1788.739584,586.69602816,80,71.338496,138.412032,38,0
