schema_version,timestamp,cycle_id,capture_latency[ms],frame_dropped[n],hsv_flag,hsv_mask_ratio,infer_latency[ms],preproc[ms],postproc[ms],eject_flag,planned_eject_ts,eject_delay[ms],outcome_flag,cpu_temp,cpu_util[%],gpu_temp,gpu_util[%],gpu_clock[mhz],gpu_mem_used[mb],gpu_power[w]
1.0.0,2026-06-23 19:43:58.228,32,48.88,0,1,0.0653,15.67,0.74,0.35,0,,,,,4.5,56,1,2040,2317.971456,37.298
1.0.0,2026-06-23 19:44:00.619,32,,,,,,,,,2026-06-23 19:44:00.361,6.9,1,,,,,,,
1.0.0,2026-06-23 19:44:02.549,33,49.16,0,1,0.1152,15.06,0.7,0.31,1,,,,,6.7,57,13,2040,2317.971456,41.707
1.0.0,2026-06-23 19:44:03.878,33,,,,,,,,,2026-06-23 19:44:03.616,11.06,1,,,,,,,
1.0.0,2026-06-23 19:44:03.897,34,48.9,0,1,0.1231,13.89,0.72,0.31,0,,,,,4.7,57,10,2040,2317.971456,40.751
1.0.0,2026-06-23 19:44:06.285,34,,,,,,,,,2026-06-23 19:44:06.031,4.29,1,,,,,,,
1.0.0,2026-06-23 19:44:06.806,35,48.64,0,1,0.1424,14.58,0.67,0.33,1,,,,,5.4,57,5,2040,2317.971456,38.932
1.0.0,2026-06-23 19:44:08.134,35,,,,,,,,,2026-06-23 19:44:07.873,10.69,1,,,,,,,
1.0.0,2026-06-23 19:44:08.696,36,48.76,0,1,0.1034,14.89,0.62,0.33,0,,,,,5.0,57,13,2040,2317.971456,40.145
1.0.0,2026-06-23 19:44:11.049,37,49.32,0,1,0.0721,15.69,0.71,0.37,0,,,,,8.4,56,8,2040,2317.971456,38.722
1.0.0,2026-06-23 19:44:11.097,36,,,,,,,,,2026-06-23 19:44:10.830,16.13,1,,,,,,,
1.0.0,2026-06-23 19:44:13.449,37,,,,,,,,,2026-06-23 19:44:13.182,15.98,1,,,,,,,
1.0.0,2026-06-23 19:44:15.322,38,49.23,0,1,0.1129,14.75,0.68,0.3,1,,,,,5.1,56,2,2040,2317.971456,36.363
1.0.0,2026-06-23 19:44:16.642,38,,,,,,,,,2026-06-23 19:44:16.388,3.48,1,,,,,,,
1.0.0,2026-06-23 19:44:16.755,39,49.27,0,1,0.1193,14.02,0.72,0.31,0,,,,,5.8,57,10,2040,2317.971456,40.761
1.0.0,2026-06-23 19:44:19.147,39,,,,,,,,,2026-06-23 19:44:18.888,8.07,1,,,,,,,
1.0.0,2026-06-23 19:44:19.578,40,48.83,0,1,0.1311,13.64,0.71,0.3,1,,,,,5.1,57,10,2040,2317.971456,40.607
1.0.0,2026-06-23 19:44:20.908,40,,,,,,,,,2026-06-23 19:44:20.644,13.15,1,,,,,,,
1.0.0,2026-06-23 19:44:21.529,41,49.34,0,1,0.092,13.67,0.66,0.31,0,,,,,5.3,57,9,2040,2317.971456,41.413
1.0.0,2026-06-23 19:44:23.926,41,,,,,,,,,2026-06-23 19:44:23.662,12.92,1,,,,,,,
1.0.0,2026-06-23 19:44:23.926,42,49.11,0,1,0.0896,14.25,0.59,0.32,1,,,,,4.6,57,7,2040,2317.971456,39.464
1.0.0,2026-06-23 19:44:25.249,42,,,,,,,,,2026-06-23 19:44:24.993,6.05,1,,,,,,,
1.0.0,2026-06-23 19:44:28.320,43,49.28,0,1,0.1216,13.92,0.69,0.32,1,,,,,4.5,56,13,2040,2317.971456,37.254
1.0.0,2026-06-23 19:44:29.655,43,,,,,,,,,2026-06-23 19:44:29.403,0.99,1,,,,,,,
1.0.0,2026-06-23 19:44:29.669,44,48.71,0,1,0.1234,14.17,0.71,0.3,1,,,,,4.6,57,6,2040,2317.971456,42.235
1.0.0,2026-06-23 19:44:30.996,44,,,,,,,,,2026-06-23 19:44:30.743,1.28,1,,,,,,,
1.0.0,2026-06-23 19:44:32.572,45,49.3,0,1,0.1394,15.04,0.68,0.34,1,,,,,6.4,57,8,2040,2317.971456,41.392
1.0.0,2026-06-23 19:44:33.898,45,,,,,,,,,2026-06-23 19:44:33.639,8.14,1,,,,,,,
1.0.0,2026-06-23 19:44:34.398,46,49.91,0,1,0.1066,16.05,0.64,0.35,0,,,,,4.7,57,8,2040,2317.971456,42.676
1.0.0,2026-06-23 19:44:36.724,47,48.79,0,1,0.0722,14.88,0.76,0.34,0,,,,,5.3,57,11,2040,2317.971456,40.857
1.0.0,2026-06-23 19:44:36.797,46,,,,,,,,,2026-06-23 19:44:36.531,15.22,1,,,,,,,
1.0.0,2026-06-23 19:44:39.111,47,,,,,,,,,2026-06-23 19:44:38.858,2.96,1,,,,,,,
1.0.0,2026-06-23 19:44:40.915,48,49.38,0,1,0.1128,15.22,0.69,0.33,1,,,,,4.4,57,10,2040,2317.971456,38.654
1.0.0,2026-06-23 19:44:42.234,48,,,,,,,,,2026-06-23 19:44:41.982,0.98,1,,,,,,,
1.0.0,2026-06-23 19:44:42.402,49,49.29,0,1,0.1228,14.6,0.6,0.34,0,,,,,5.4,57,19,2040,2317.971456,42.279
1.0.0,2026-06-23 19:44:44.798,49,,,,,,,,,2026-06-23 19:44:44.536,11.44,1,,,,,,,
1.0.0,2026-06-23 19:44:45.392,50,50.35,0,1,0.144,14.02,0.65,0.32,1,,,,,5.9,57,12,2040,2317.971456,43.369
1.0.0,2026-06-23 19:44:46.717,50,,,,,,,,,2026-06-23 19:44:46.459,7.85,1,,,,,,,
1.0.0,2026-06-23 19:44:47.142,51,48.84,0,1,0.1036,14.82,0.67,0.3,0,,,,,5.3,57,11,2040,2317.971456,39.262
1.0.0,2026-06-23 19:44:49.536,51,,,,,,,,,2026-06-23 19:44:49.275,10.27,1,,,,,,,
1.0.0,2026-06-23 19:44:49.555,52,49.01,0,1,0.0718,13.22,0.67,0.32,0,,,,,4.5,57,9,2040,2317.971456,41.727
1.0.0,2026-06-23 19:44:51.940,52,,,,,,,,,2026-06-23 19:44:51.689,0.8,1,,,,,,,
1.0.0,2026-06-23 19:44:53.769,53,48.49,0,1,0.115,13.6,0.59,0.32,1,,,,,5.9,57,13,2040,2317.971456,39.868
1.0.0,2026-06-23 19:44:55.088,53,,,,,,,,,2026-06-23 19:44:54.836,1.54,1,,,,,,,
1.0.0,2026-06-23 19:44:55.240,54,49.06,0,1,0.1231,15.03,0.75,0.3,0,,,,,5.7,57,2,2040,2317.971456,41.073
1.0.0,2026-06-23 19:44:57.632,54,,,,,,,,,2026-06-23 19:44:57.373,8.44,1,,,,,,,
1.0.0,2026-06-23 19:44:58.103,55,49.1,0,1,0.1288,14.49,0.72,0.33,1,,,,,4.2,57,5,2040,2317.971456,36.752
1.0.0,2026-06-23 19:44:59.422,55,,,,,,,,,2026-06-23 19:44:59.170,1.4,1,,,,,,,
1.0.0,2026-06-23 19:44:59.843,56,49.17,0,1,0.1154,15.11,0.67,0.36,0,,,,,4.7,57,11,2040,2317.971456,38.324
1.0.0,2026-06-23 19:45:02.231,56,,,,,,,,,2026-06-23 19:45:01.976,5.16,1,,,,,,,
1.0.0,2026-06-23 19:45:02.409,57,49.24,0,1,0.0613,14.24,0.72,0.33,1,,,,,5.2,56,1,2040,2317.971456,37.5
1.0.0,2026-06-23 19:45:03.733,57,,,,,,,,,2026-06-23 19:45:03.482,0.86,1,,,,,,,
1.0.0,2026-06-23 19:45:06.613,58,49.32,0,1,0.1137,14.7,0.63,0.33,1,,,,,5.0,57,13,2040,2317.971456,41.145
1.0.0,2026-06-23 19:45:07.932,58,,,,,,,,,2026-06-23 19:45:07.680,1.13,1,,,,,,,
1.0.0,2026-06-23 19:45:07.961,59,49.4,0,1,0.123,14.83,0.71,0.31,0,,,,,5.1,57,11,2040,2317.971456,40.966
1.0.0,2026-06-23 19:45:10.357,59,,,,,,,,,2026-06-23 19:45:10.095,11.59,1,,,,,,,
1.0.0,2026-06-23 19:45:10.710,60,49.02,0,1,0.1289,14.95,0.67,0.31,1,,,,,5.9,57,10,2040,2317.971456,38.315
1.0.0,2026-06-23 19:45:12.036,60,,,,,,,,,2026-06-23 19:45:11.777,8.48,1,,,,,,,
