schema_version,timestamp,cycle_id,capture_latency[ms],frame_dropped[n],hsv_flag,hsv_mask_ratio,infer_latency[ms],preproc[ms],postproc[ms],capture_sum[ms],capture_frames[n],hsv_sum[ms],hsv_frames[n],visible_frames[n],preproc_sum[ms],infer_sum[ms],infer_count[n],postproc_sum[ms],total_per_fruit[ms],visible_dur[s],cycle_dur[s],eject_flag,planned_eject_ts,eject_delay[ms],outcome_flag,yolo_no_det_flag,cpu_temp,cpu_util[%],gpu_temp,gpu_util[%],gpu_clock[mhz],gpu_mem_used[mb],gpu_power[w]
1.0.0,2026-08-05 02:56:40.576,37,49.21,0,1,0.1238,8.1,0.59,1.44,64.55,89,514.44,89,33,7.07,97.22,12,17.32,700.6,0.125,1.109,1,,,,0,,22.0,53,8,2040,2403.581952,37.738
1.0.0,2026-08-05 02:56:41.826,38,49.24,0,1,0.2003,6.33,0.6,1.24,76.01,100,643.34,100,28,7.16,75.97,12,14.93,817.41,0.156,1.25,1,,,,0,,19.3,53,8,2040,2403.581952,37.773
1.0.0,2026-08-05 02:56:42.042,36,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:41.866,1.77,1,,,,,,,,
1.0.0,2026-08-05 02:56:42.618,35,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:42.458,5.5,1,,,,,,,,
1.0.0,2026-08-05 02:56:43.094,39,56.61,0,1,0.1933,7.18,0.59,1.34,83.12,102,625.43,99,28,7.13,86.16,12,16.14,817.98,0.156,1.266,0,,,,0,,17.4,53,17,2040,2369.503232,37.846
1.0.0,2026-08-05 02:56:43.149,37,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:42.976,16.81,1,,,,,,,,
1.0.0,2026-08-05 02:56:44.175,40,44.61,0,1,0.1685,7.89,0.5,1.28,62.99,86,561.44,89,29,5.98,94.71,12,15.39,740.51,0.188,1.078,1,,,,0,,20.2,53,16,2040,2369.503232,37.745
1.0.0,2026-08-05 02:56:44.386,38,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:44.226,2.91,1,,,,,,,,
1.0.0,2026-08-05 02:56:45.324,41,49.21,0,1,0.1951,6.37,0.54,1.39,66.25,92,642.56,92,27,6.5,76.4,12,16.64,808.35,0.156,1.156,1,,,,0,,24.5,53,17,2040,2403.581952,37.704
1.0.0,2026-08-05 02:56:46.465,42,49.19,0,1,0.1881,6.5,0.56,1.29,102.9,91,545.75,91,27,6.69,77.97,12,15.47,748.78,0.141,1.141,0,,,,0,,20.4,54,22,2040,2403.581952,37.601
1.0.0,2026-08-05 02:56:46.739,40,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:46.575,6.89,1,,,,,,,,
1.0.0,2026-08-05 02:56:47.329,39,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:47.167,9.03,1,,,,,,,,
